Customer_ID,Transaction_ID,Transaction_Date,Category_Code,Transaction_Type,Transaction_Amount,Payment_Code,Number_of_Transactions
82662,1000069,2024-08-29,6,Sale,1228.61,4,6
16446,1000070,2024-08-11,5,Sale,4617.18,2,21
18372,1000071,2024-08-19,1,Sale,4406.17,3,22
32198,1000072,2024-08-05,9,Sale,2118.05,1,6
32636,1000073,2024-08-16,1,Sale,626.74,4,13
97549,1000074,2024-08-05,3,Sale,1584.5,3,19
19207,1000075,2024-08-03,5,Return,4663.48,5,
30133,1000076,2024-08-17,1,Sale,1268.17,3,11
37638,1000077,2024-08-22,1,Sale,1220.41,5,20
80723,1000078,2024-08-24,4,Sale,2364.8,5,11
22435,1000079,2024-08-26,5,Sale,7169.05,5,19
31969,1000080,2024-08-22,4,Sale,916.36,2,7
18114,1000081,2024-08-31,9,Sale,3285.87,4,13
56602,1000082,2024-08-28,2,Sale,5069.39,1,14
51227,1000083,2024-08-30,2,Sale,2265.95,3,6
42034,1000084,2024-08-31,1,Sale,775.73,1,12
90997,1000085,2024-08-06,9,Sale,9999.99,5,9
58712,1000086,2024-08-27,2,Return,3107.2,5,
56395,1000087,2024-08-21,4,Sale,870.55,1,17
69020,1000088,2024-08-29,5,Sale,5995.95,3,26
78757,1000089,2024-08-24,2,Sale,6983.29,5,12
64640,1000090,2024-08-03,3,Sale,986.46,2,10
82299,1000091,2024-08-13,7,Sale,3523.65,1,10
38825,1000092,2024-08-29,1,Sale,810.34,2,5
22341,1000093,2024-08-27,3,Sale,2503.91,3,6
53549,1000094,2024-08-16,9,Sale,4167.58,4,17
79574,1000095,2024-08-06,5,Sale,2958.52,4,8
76740,1000096,2024-08-01,1,Sale,2774.54,4,12
69737,1000097,2024-08-21,6,Sale,2495.32,5,17
33186,1000098,2024-08-11,3,Return,918.41,4,
17911,1000099,2024-08-26,8,Sale,1056.75,2,10
32794,1000100,2024-08-21,2,Sale,2775.54,3,25
11945,1000101,2024-08-04,5,Sale,6458.22,2,8
93887,1000102,2024-08-22,4,Sale,2048.93,5,15
39926,1000103,2024-08-06,1,Sale,336.62,2,7
99117,1000104,2024-08-02,1,Return,1620.28,4,
78016,1000105,2024-08-29,1,Sale,1377.19,5,11
51884,1000106,2024-08-21,4,Sale,689.73,4,7
57075,1000107,2024-08-20,8,Sale,4053.22,3,10
84934,1000108,2024-08-13,9,Sale,5422.64,3,9
30038,1000109,2024-08-26,4,Sale,2068.46,5,8
35751,1000110,2024-08-04,3,Sale,1391.96,3,14
85468,1000111,2024-08-11,10,Return,1750.9,5,
84452,1000112,2024-08-22,2,Sale,3718.19,5,14
66434,1000113,2024-08-07,6,Sale,2440.59,5,4
83090,1000114,2024-08-02,3,Return,1866.23,3,
85965,1000115,2024-08-19,8,Sale,2641.85,5,5
70976,1000116,2024-08-14,4,Sale,1682.75,4,9
67896,1000117,2024-08-23,1,Sale,1051.77,1,10
34216,1000118,2024-08-16,9,Sale,5292.82,5,6
25004,1000119,2024-08-29,2,Sale,5887.47,5,9
52780,1000120,2024-08-19,9,Sale,8223.94,5,15
69013,1000121,2024-08-07,8,Sale,3995.75,1,17
57885,1000122,2024-08-04,7,Sale,4438.33,4,10
91867,1000123,2024-08-11,2,Sale,1609.8,2,11
34059,1000124,2024-08-16,2,Sale,3506.63,4,24
93125,1000125,2024-08-14,9,Return,3916.45,1,
96628,1000126,2024-08-03,8,Sale,3229.04,3,14
44107,1000127,2024-08-19,10,Sale,547.51,3,10
30740,1000128,2024-08-01,3,Sale,1453.66,3,7
50620,1000129,2024-08-19,1,Sale,700.32,4,16
78721,1000130,2024-08-14,6,Sale,1240.36,1,7
60009,1000131,2024-08-02,1,Sale,687.47,1,17
28999,1000132,2024-08-14,9,Sale,3586.97,2,20
85142,1000133,2024-08-20,2,Sale,1865.32,1,2
64382,1000134,2024-08-19,5,Sale,5907.78,1,10
53249,1000135,2024-08-30,9,Sale,9999.99,5,7
43026,1000136,2024-08-18,7,Sale,7072.56,4,19
63665,1000137,2024-08-10,10,Sale,1566.28,5,9
73020,1000138,2024-08-17,10,Sale,815.75,1,4
23719,1000139,2024-08-31,7,Sale,9999.99,5,9
66146,1000140,2024-08-17,1,Sale,2775.94,5,14
66347,1000141,2024-08-18,1,Sale,803.1,2,8
95627,1000142,2024-08-08,3,Sale,1367.24,1,16
35199,1000143,2024-08-17,1,Sale,234.7,2,8
86468,1000144,2024-08-23,1,Sale,557.25,2,7
31099,1000145,2024-08-17,2,Sale,4333.91,5,4
47474,1000146,2024-08-30,8,Sale,4164.13,3,7
62857,1000147,2024-08-23,1,Sale,961.15,5,13
74065,1000148,2024-08-18,4,Sale,1639.53,4,10
52411,1000149,2024-08-20,2,Sale,7065.75,4,8
62260,1000150,2024-08-05,3,Sale,1860.75,5,9
13284,1000151,2024-08-27,7,Sale,5226.73,5,13
22358,1000152,2024-08-11,1,Sale,220.8,2,12
74292,1000153,2024-08-05,6,Sale,1425.3,1,7
93547,1000154,2024-08-13,3,Sale,4458.5,5,10
85391,1000155,2024-08-05,4,Sale,579.95,1,4
73653,1000156,2024-08-01,5,Sale,3072.27,5,13
26716,1000157,2024-08-25,2,Sale,5536.41,5,8
31696,1000158,2024-08-15,6,Sale,1262.88,5,22
30070,1000159,2024-08-21,7,Sale,4452.96,1,12
96662,1000160,2024-08-16,9,Sale,7349.07,1,14
90605,1000161,2024-08-06,10,Sale,1651.55,5,5
73785,1000162,2024-08-23,1,Sale,858,4,9
10623,1000163,2024-08-10,2,Sale,2730.76,2,8
91074,1000164,2024-08-09,1,Sale,752.52,4,11
32528,1000165,2024-08-31,9,Sale,5200.24,1,1
13295,1000166,2024-08-07,7,Sale,8391.32,1,13
39025,1000167,2024-08-05,9,Sale,6670.74,3,15
67638,1000168,2024-08-09,4,Sale,632.52,4,8
96500,1000169,2024-08-31,2,Sale,4973.23,4,4
17309,1000170,2024-08-20,9,Sale,5043.42,5,10
81268,1000171,2024-08-03,6,Sale,1792.56,2,8
97639,1000172,2024-08-28,5,Sale,4270.89,5,14
39775,1000173,2024-08-13,2,Sale,5434.86,4,13
99230,1000174,2024-08-23,1,Sale,784.24,5,15
41472,1000175,2024-08-11,10,Sale,1101.43,4,3
44021,1000176,2024-08-08,6,Sale,2362.51,3,10
32708,1000177,2024-08-11,6,Sale,3763.57,2,11
70337,1000178,2024-08-25,2,Sale,6902.94,5,2
41138,1000179,2024-08-24,3,Return,2459.08,1,
50338,1000180,2024-08-14,5,Sale,6698.44,5,5
61734,1000181,2024-08-05,10,Sale,902.99,5,16
62517,1000182,2024-08-04,2,Sale,6655.78,5,20
20640,1000183,2024-08-07,2,Return,6823.27,5,
85349,1000184,2024-08-27,1,Sale,1724.5,3,8
80731,1000185,2024-08-16,3,Sale,2774.95,5,4
55774,1000186,2024-08-27,1,Sale,688.09,1,9
34952,1000187,2024-08-30,5,Sale,4916.26,3,14
52971,1000188,2024-08-19,1,Sale,1308.35,3,8
61368,1000189,2024-08-02,2,Sale,3531.9,5,21
17789,1000190,2024-08-22,4,Sale,1151.98,5,9
43360,1000191,2024-08-16,2,Sale,2150.73,1,12
69415,1000192,2024-08-19,3,Sale,1226.84,2,14
27231,1000193,2024-08-29,10,Return,970.32,3,
28699,1000194,2024-08-20,1,Sale,276.15,2,14
16702,1000195,2024-08-11,8,Sale,4392.7,5,16
10959,1000196,2024-08-01,1,Sale,567.05,1,13
54257,1000197,2024-08-02,7,Sale,8643.01,4,13
64314,1000198,2024-08-06,10,Sale,659.18,5,6
36330,1000199,2024-08-29,1,Sale,876.48,1,15
69598,1000200,2024-08-16,5,Sale,4991.25,3,13
44220,1000201,2024-08-13,4,Sale,2237.86,3,10
76371,1000202,2024-08-30,3,Sale,1574.66,4,8
39753,1000203,2024-08-25,2,Sale,2016.5,3,10
95070,1000204,2024-08-18,9,Sale,3337.69,5,10
14044,1000205,2024-08-14,6,Sale,3161.92,3,13
62895,1000206,2024-08-31,2,Sale,3972.8,5,13
78439,1000207,2024-08-05,5,Sale,7389.82,4,11
17891,1000208,2024-08-31,7,Sale,7564.22,4,9
58400,1000209,2024-08-27,1,Sale,399.48,2,9
66336,1000210,2024-08-11,8,Sale,2554.41,5,18
60312,1000211,2024-08-19,1,Sale,401.89,4,9
40184,1000212,2024-08-10,2,Sale,6670.89,4,5
63666,1000213,2024-08-30,5,Sale,9362.05,5,11
69645,1000214,2024-08-12,5,Sale,5216.72,2,13
12528,1000215,2024-08-18,10,Return,1542.54,5,
44919,1000216,2024-08-08,1,Return,2181.91,4,
45119,1000217,2024-08-07,1,Sale,725.34,5,4
37581,1000218,2024-08-06,2,Sale,2827.52,5,10
35723,1000219,2024-08-26,4,Return,494.82,5,
11205,1000220,2024-08-13,2,Sale,2479.72,3,28
83424,1000221,2024-08-23,3,Sale,685.31,4,12
15146,1000222,2024-08-30,2,Sale,1704.05,4,10
25518,1000223,2024-08-04,7,Return,8741.79,3,
82257,1000224,2024-08-09,1,Sale,1044.24,4,14
38447,1000225,2024-08-27,7,Sale,9999.99,5,12
62293,1000226,2024-08-04,10,Sale,1397.76,4,6
17335,1000227,2024-08-28,4,Sale,1896.06,1,17
15157,1000228,2024-08-09,7,Sale,9999.99,4,7
48063,1000229,2024-08-08,5,Sale,5289.83,1,13
94160,1000230,2024-08-15,5,Sale,5635.88,1,7
62554,1000231,2024-08-27,1,Sale,2016.13,4,14
16501,1000232,2024-08-18,3,Sale,1957,4,6
59701,1000233,2024-08-08,5,Sale,3372.2,3,21
14542,1000234,2024-08-16,1,Sale,1405.16,3,13
33367,1000235,2024-08-01,6,Sale,1636.67,3,6
25093,1000236,2024-08-07,1,Sale,640.17,4,16
68463,1000237,2024-08-04,6,Return,1527.87,3,
94449,1000238,2024-08-24,1,Sale,3045.16,5,13
85781,1000239,2024-08-18,8,Sale,3202.97,5,16
22807,1000240,2024-08-11,1,Sale,790.41,4,4
79462,1000241,2024-08-21,9,Sale,4281.49,5,15
21786,1000242,2024-08-30,4,Sale,952.17,5,12
97850,1000243,2024-08-24,2,Return,8356.22,5,
32197,1000244,2024-08-03,7,Sale,4357.86,4,16
19351,1000245,2024-08-29,3,Sale,1615.52,3,7
21846,1000246,2024-08-22,2,Return,1959.51,4,
66727,1000247,2024-08-07,2,Sale,2200.86,4,12
77129,1000248,2024-08-28,5,Sale,3029.78,5,14
78241,1000249,2024-08-27,6,Sale,1520.11,5,16
36893,1000250,2024-08-21,1,Sale,1124.54,1,10
54210,1000251,2024-08-26,10,Sale,168.04,3,9
92533,1000252,2024-08-09,1,Sale,1768.74,5,9
44983,1000253,2024-08-28,4,Sale,1235.01,4,4
94392,1000254,2024-08-30,4,Sale,1223.31,2,7
98659,1000255,2024-08-30,8,Sale,1364.38,2,6
12848,1000256,2024-08-29,2,Sale,3800.88,4,19
56024,1000257,2024-08-07,2,Sale,2778.02,4,11
61930,1000258,2024-08-03,7,Sale,8670.1,1,9
79031,1000259,2024-08-02,1,Return,673.31,1,
81248,1000260,2024-08-04,8,Sale,2104.75,1,17
73274,1000261,2024-08-23,1,Sale,746.51,1,23
56929,1000262,2024-08-31,5,Sale,3142.17,5,18
94687,1000263,2024-08-23,7,Sale,4739.31,2,16
17580,1000264,2024-08-27,1,Return,1070.13,4,
98399,1000265,2024-08-24,8,Sale,4478.59,4,12
41209,1000266,2024-08-22,5,Sale,5763.12,3,9
81266,1000267,2024-08-19,5,Sale,5795.93,5,10
17191,1000268,2024-08-20,8,Sale,1235.84,1,12
53942,1000269,2024-08-21,3,Return,1328.41,1,
42315,1000270,2024-08-10,7,Sale,9999.99,4,12
53132,1000271,2024-08-15,6,Sale,2014.94,5,4
15118,1000272,2024-08-27,3,Sale,1976.1,4,11
30626,1000273,2024-08-29,3,Sale,1604.81,5,14
19887,1000274,2024-08-25,3,Sale,2950.34,3,11
50876,1000275,2024-08-25,4,Sale,745.54,1,3
42704,1000276,2024-08-29,3,Sale,1501,5,11
46237,1000277,2024-08-19,5,Sale,4953.31,4,6
77077,1000278,2024-08-27,2,Sale,7108.48,5,3
42221,1000279,2024-08-16,5,Sale,5711.59,5,11
75793,1000280,2024-08-18,4,Sale,684.23,2,4
47248,1000281,2024-08-03,6,Sale,1490.79,5,14
13426,1000282,2024-08-29,10,Sale,470.81,4,7
31614,1000283,2024-08-24,3,Sale,1036.19,2,12
57835,1000284,2024-08-10,5,Sale,4162.74,4,15
60371,1000285,2024-08-10,7,Sale,4648.49,5,8
90416,1000286,2024-08-06,1,Sale,793.88,4,7
48010,1000287,2024-08-14,1,Sale,1409.6,2,6
65060,1000288,2024-08-06,6,Sale,3139.71,5,14
25755,1000289,2024-08-22,1,Sale,689.56,5,15
71221,1000290,2024-08-31,8,Return,2669.72,4,
40560,1000291,2024-08-04,6,Sale,1400.91,3,7
33551,1000292,2024-08-20,1,Sale,1657.91,4,10
15401,1000293,2024-08-29,5,Sale,9999.99,5,8
28954,1000294,2024-08-05,6,Sale,2964.26,5,4
25613,1000295,2024-08-31,9,Sale,3888.26,2,11
61121,1000296,2024-08-22,3,Sale,3751.11,4,5
35512,1000297,2024-08-07,7,Return,5253.95,4,
69455,1000298,2024-08-10,1,Sale,852.76,4,18
26460,1000299,2024-08-21,2,Sale,2331.64,1,9
82514,1000300,2024-08-12,1,Sale,1137.92,5,5
12813,1000301,2024-08-01,1,Sale,652.81,5,10
83749,1000302,2024-08-26,1,Sale,1313.05,5,5
70511,1000303,2024-08-16,4,Sale,768.24,1,10
89425,1000304,2024-08-23,3,Return,1537.97,5,
49798,1000305,2024-08-18,3,Sale,1612.36,5,8
63783,1000306,2024-08-23,10,Sale,470.1,2,12
16418,1000307,2024-08-18,1,Sale,1124.79,5,7
81029,1000308,2024-08-11,2,Sale,3105.39,3,12
42243,1000309,2024-08-12,5,Sale,2607.78,4,11
27220,1000310,2024-08-18,7,Sale,9999.99,5,17
66265,1000311,2024-08-09,1,Sale,525.83,2,11
26809,1000312,2024-08-03,2,Sale,3215.12,4,9
27114,1000313,2024-08-28,10,Sale,1030.87,3,23
78162,1000314,2024-08-20,6,Sale,2075.11,5,12
92706,1000315,2024-08-22,1,Sale,596.38,3,11
45376,1000316,2024-08-04,8,Sale,2384.8,2,8
79661,1000317,2024-08-02,7,Sale,9070.65,2,18
27841,1000318,2024-08-03,2,Sale,6184.61,5,16
53581,1000319,2024-08-25,4,Sale,950.28,1,7
93769,1000320,2024-08-10,3,Sale,3098.39,2,12
56376,1000321,2024-08-17,4,Sale,629.22,5,6
59106,1000322,2024-08-07,10,Sale,2800.75,5,19
58535,1000323,2024-08-01,1,Sale,1853.26,5,9
35627,1000324,2024-08-06,2,Sale,3299,3,10
32753,1000325,2024-08-20,1,Sale,1177.7,5,8
48812,1000326,2024-08-17,10,Sale,827.35,4,18
80319,1000327,2024-08-02,4,Sale,768.45,1,8
68598,1000328,2024-08-31,7,Sale,8430.24,5,5
13137,1000329,2024-08-31,10,Sale,531.87,1,8
69775,1000330,2024-08-12,3,Return,2764.16,5,
48510,1000331,2024-08-25,3,Sale,1072.52,3,13
87179,1000332,2024-08-11,3,Sale,1711.52,2,18
70307,1000333,2024-08-30,2,Sale,3260.66,5,10
50780,1000334,2024-08-17,2,Sale,5750.29,1,5
28749,1000335,2024-08-29,4,Sale,1384.23,5,8
38256,1000336,2024-08-07,1,Sale,769.94,4,12
31233,1000337,2024-08-11,7,Sale,5425.54,2,21
12143,1000338,2024-08-04,3,Sale,3011.02,4,10
52994,1000339,2024-08-12,1,Sale,1289.82,3,6
58880,1000340,2024-08-27,8,Sale,1647.92,2,11
60910,1000341,2024-08-04,2,Sale,5127.25,5,12
82712,1000342,2024-08-31,3,Sale,3959.4,5,15
65282,1000343,2024-08-06,2,Sale,2102.11,3,7
84783,1000344,2024-08-24,2,Sale,4566.04,5,8
28038,1000345,2024-08-09,5,Sale,9106.28,5,10
69007,1000346,2024-08-12,1,Sale,2167.27,5,6
27775,1000347,2024-08-03,5,Sale,4562.84,1,9
65397,1000348,2024-08-18,1,Sale,1524.7,5,7
10021,1000349,2024-08-06,10,Sale,2687.65,5,7
27961,1000350,2024-08-10,1,Sale,1585.97,5,11
70714,1000351,2024-08-26,6,Sale,1948.54,5,5
41783,1000352,2024-08-02,6,Sale,2042.46,5,6
95746,1000353,2024-08-24,4,Sale,397.7,1,16
49059,1000354,2024-08-23,3,Sale,1126.27,5,15
27589,1000355,2024-08-10,4,Sale,615.94,5,9
11424,1000356,2024-08-27,10,Sale,1026.71,5,9
71746,1000357,2024-08-31,4,Sale,1728.48,2,25
98633,1000358,2024-08-06,2,Sale,9999.99,3,24
16875,1000359,2024-08-23,1,Sale,846.99,5,15
43252,1000360,2024-08-23,10,Sale,1339.9,5,7
88563,1000361,2024-08-23,3,Sale,5222.97,5,5
68525,1000362,2024-08-22,2,Sale,4364.2,3,11
43327,1000363,2024-08-24,7,Sale,9967.78,3,13
37548,1000364,2024-08-31,4,Return,908.41,1,
53112,1000365,2024-08-01,2,Sale,4538.74,2,8
40912,1000366,2024-08-23,10,Sale,452.22,1,12
71380,1000367,2024-08-09,1,Sale,660.58,2,18
63724,1000368,2024-08-02,3,Sale,2366.88,4,10
78482,1000369,2024-08-05,4,Sale,2609.17,5,11
80838,1000370,2024-08-30,3,Sale,2910.31,5,15
27292,1000371,2024-08-30,5,Sale,6665.83,3,25
77746,1000372,2024-08-18,4,Sale,1698.84,5,8
10049,1000373,2024-08-21,1,Sale,1249.44,5,12
63905,1000374,2024-08-18,7,Sale,8317.88,2,7
40071,1000375,2024-08-08,4,Sale,538.55,1,2
40959,1000376,2024-08-03,3,Sale,1628.76,5,13
91697,1000377,2024-08-09,1,Sale,742.97,2,6
51856,1000378,2024-08-12,2,Sale,2818.25,1,22
90794,1000379,2024-08-18,2,Sale,6526.44,5,29
95566,1000380,2024-08-27,7,Sale,8896.99,5,5
11070,1000381,2024-08-11,10,Sale,941.5,3,4
35311,1000382,2024-08-19,1,Sale,555.15,4,9
32535,1000383,2024-08-12,3,Sale,964.88,1,10
83160,1000384,2024-08-31,9,Sale,4255.38,4,3
41004,1000385,2024-08-17,3,Sale,1715.08,2,9
72052,1000386,2024-08-06,10,Sale,441.87,4,20
80976,1000387,2024-08-18,6,Return,2367.17,5,
24137,1000388,2024-08-19,1,Sale,898.69,5,11
45248,1000389,2024-08-01,4,Sale,904.54,2,4
80175,1000390,2024-08-30,2,Sale,6983.81,5,12
61037,1000391,2024-08-04,4,Sale,479.82,1,13
74003,1000392,2024-08-21,4,Sale,377.01,1,6
77254,1000393,2024-08-27,1,Sale,1318.15,3,10
25074,1000394,2024-08-12,2,Return,9999.99,5,
31651,1000395,2024-08-12,7,Sale,9999.99,5,16
20063,1000396,2024-08-05,10,Sale,1183.73,5,3
74801,1000397,2024-08-09,6,Sale,1277.54,4,14
99484,1000398,2024-08-31,7,Sale,9999.99,5,6
47798,1000399,2024-08-22,6,Sale,1238.99,2,10
94409,1000400,2024-08-08,3,Return,3217.21,5,
35069,1000401,2024-08-31,9,Sale,9999.99,5,6
22187,1000402,2024-08-01,1,Sale,499.3,3,11
33351,1000403,2024-08-26,1,Sale,1305.48,5,5
94709,1000404,2024-08-07,4,Sale,1208.5,4,10
23839,1000405,2024-08-30,6,Sale,1986.44,5,9
99852,1000406,2024-08-28,6,Sale,1347.54,3,8
38861,1000407,2024-08-25,10,Sale,2087.16,5,8
45591,1000408,2024-08-18,8,Return,3261.09,3,
68500,1000409,2024-08-06,9,Sale,9999.99,5,20
97030,1000410,2024-08-03,2,Sale,1456.01,4,21
61060,1000411,2024-08-26,6,Sale,1134.53,4,17
12264,1000412,2024-08-15,1,Sale,1866.01,5,8
70113,1000413,2024-08-28,9,Sale,4642.79,2,6
62223,1000414,2024-08-24,5,Sale,5619.74,5,15
72639,1000415,2024-08-26,5,Sale,3799.32,1,5
86678,1000416,2024-08-26,8,Return,3728.8,5,
82605,1000417,2024-08-24,9,Sale,5331.86,5,11
36577,1000418,2024-08-08,2,Sale,4028.36,4,1
40299,1000419,2024-08-14,4,Sale,826.61,4,14
96990,1000420,2024-08-05,10,Sale,1122.67,3,7
41623,1000421,2024-08-10,10,Sale,652.31,1,20
14241,1000422,2024-08-15,7,Return,9238.33,4,
70769,1000423,2024-08-04,8,Return,1269.3,3,
38628,1000424,2024-08-22,4,Sale,2248.53,4,6
39064,1000425,2024-08-30,1,Sale,1031.59,2,14
79667,1000426,2024-08-19,5,Sale,7111.17,3,15
35296,1000427,2024-08-12,7,Sale,4287.46,2,7
94433,1000428,2024-08-01,3,Sale,1790.5,3,18
33311,1000429,2024-08-18,2,Sale,6953.55,5,21
16290,1000430,2024-08-25,1,Sale,1081.13,5,11
94859,1000431,2024-08-09,3,Sale,3311.64,5,16
62417,1000432,2024-08-18,4,Sale,1617.69,5,11
49182,1000433,2024-08-15,1,Sale,790.27,4,13
36705,1000434,2024-08-03,6,Sale,1452.08,2,15
27089,1000435,2024-08-25,10,Sale,762.19,3,1
15314,1000436,2024-08-27,1,Return,2293.53,5,
48431,1000437,2024-08-18,3,Sale,1396.05,5,14
39916,1000438,2024-08-14,10,Sale,771.66,4,14
18003,1000439,2024-08-06,4,Sale,2392.29,5,17
73831,1000440,2024-08-28,6,Sale,2243.46,5,14
73751,1000441,2024-08-29,5,Sale,3306.37,1,12
62072,1000442,2024-08-05,8,Sale,2333.04,3,16
47060,1000443,2024-08-26,2,Sale,4573.65,4,5
62231,1000444,2024-08-13,6,Sale,1289.06,4,11
58881,1000445,2024-08-09,6,Sale,1372.95,1,2
95459,1000446,2024-08-11,4,Sale,1721.34,3,10
39506,1000447,2024-08-08,8,Sale,2320.34,5,6
51801,1000448,2024-08-30,4,Sale,1600.96,4,2
47012,1000449,2024-08-23,8,Sale,1012.85,3,5
72797,1000450,2024-08-22,3,Sale,1381.26,4,5
86381,1000451,2024-08-22,5,Sale,9379.79,5,9
25528,1000452,2024-08-06,9,Sale,3069.92,4,5
64498,1000453,2024-08-23,1,Sale,370.91,1,9
67038,1000454,2024-08-25,5,Sale,9999.99,5,15
66367,1000455,2024-08-18,8,Sale,5361.85,4,20
37550,1000456,2024-08-11,2,Sale,2637.88,4,9
36195,1000457,2024-08-13,1,Sale,776.92,5,13
80071,1000458,2024-08-12,1,Sale,487.66,2,11
22462,1000459,2024-08-14,7,Sale,3247.2,1,4
59561,1000460,2024-08-08,4,Sale,1097.47,5,10
62858,1000461,2024-08-21,2,Sale,4166.94,5,10
89101,1000462,2024-08-09,2,Sale,6341.49,5,17
36973,1000463,2024-08-29,4,Sale,2453.35,5,5
38907,1000464,2024-08-16,2,Sale,5086.68,1,16
34337,1000465,2024-08-30,2,Sale,5251.25,4,12
37495,1000466,2024-08-25,8,Sale,1238.47,1,21
54697,1000467,2024-08-14,2,Sale,2458.16,2,9
96313,1000468,2024-08-30,5,Sale,4143.52,5,17
41907,1000469,2024-08-15,2,Sale,3734.25,1,4
43104,1000470,2024-08-05,8,Sale,7309.3,5,11
43634,1000471,2024-08-01,1,Sale,528.28,4,23
46399,1000472,2024-08-25,8,Sale,3802.45,1,16
98038,1000473,2024-08-21,2,Sale,3878.5,4,6
37966,1000474,2024-08-28,5,Sale,5352.79,5,9
66569,1000475,2024-08-07,1,Sale,830.26,4,5
56423,1000476,2024-08-26,7,Sale,7451.86,2,17
99913,1000477,2024-08-23,2,Sale,3739.26,1,6
40957,1000478,2024-08-26,8,Sale,4691.39,3,13
10365,1000479,2024-08-14,2,Sale,3557.24,5,8
81142,1000480,2024-08-06,2,Sale,3166.65,3,5
42090,1000481,2024-08-31,7,Sale,9999.99,5,12
10536,1000482,2024-08-02,7,Sale,7092.48,5,10
16253,1000483,2024-08-20,7,Sale,9999.99,3,11
